file_path,page_num,D,H,S,L,risk_score,label_ternary
104-105______________________________20260222_095032_page_0001.pdf,1,2,1,1,1,4,review
104-105______________________________20260222_095032_page_0002.pdf,2,2,2,1,2,6,review
104-105נפומניאשצי_נתנאל_קטין_נ_מנורה_20260222_095032_page_0001.pdf,1,2,1,1,1,4,review
104-105נפומניאשצי_נתנאל_קטין_נ_מנורה_20260222_095032_page_0002.pdf,2,2,1,1,2,5,review
1a5f7ac7-fad5-457a-a1e1-1cb73b642b04 (dragged)_page_0001.pdf,1,2,0,1,1,3,safe_for_extraction
1cb73767-12db-4f08-be5e-bd5fb99dc6fd-2-36_page_0001.pdf,1,3,2,1,1,4,review
1cb73767-12db-4f08-be5e-bd5fb99dc6fd-2-36_page_0002.pdf,2,2,2,1,1,5,review
1cb73767-12db-4f08-be5e-bd5fb99dc6fd-2-36_page_0003.pdf,3,2,1,1,1,4,review
1cb73767-12db-4f08-be5e-bd5fb99dc6fd-2-36_page_0004.pdf,4,2,1,1,1,4,review
1cb73767-12db-4f08-be5e-bd5fb99dc6fd-2-36_page_0005.pdf,5,2,1,1,1,4,review
1cb73767-12db-4f08-be5e-bd5fb99dc6fd-2-36_page_0006.pdf,6,3,0,1,1,2,safe_for_extraction
1cb73767-12db-4f08-be5e-bd5fb99dc6fd-2-36_page_0007.pdf,7,2,0,0,1,2,safe_for_extraction
1cb73767-12db-4f08-be5e-bd5fb99dc6fd-2-36_page_0008.pdf,8,2,0,1,1,3,safe_for_extraction
1cb73767-12db-4f08-be5e-bd5fb99dc6fd-2-36_page_0009.pdf,9,3,1,1,1,3,safe_for_extraction
1cb73767-12db-4f08-be5e-bd5fb99dc6fd-2-36_page_0010.pdf,10,3,0,1,1,2,safe_for_extraction
1cb73767-12db-4f08-be5e-bd5fb99dc6fd-2-36_page_0011.pdf,11,3,1,1,1,3,safe_for_extraction
1cb73767-12db-4f08-be5e-bd5fb99dc6fd-2-36_page_0012.pdf,12,2,1,1,1,4,review
1cb73767-12db-4f08-be5e-bd5fb99dc6fd-2-36_page_0013.pdf,13,2,1,1,1,4,review
1cb73767-12db-4f08-be5e-bd5fb99dc6fd-2-36_page_0014.pdf,14,3,0,1,1,2,safe_for_extraction
1cb73767-12db-4f08-be5e-bd5fb99dc6fd-2-36_page_0015.pdf,15,3,2,1,1,4,review
1cb73767-12db-4f08-be5e-bd5fb99dc6fd-2-36_page_0016.pdf,16,3,1,1,1,3,safe_for_extraction
